Frecuencia (Hz)	Nivel (dB)
11498,730469	-35,697655
11541,796875	-35,681419
11584,863281	-35,665245
11627,929688	-35,649136
11670,996094	-35,633083
11714,062500	-35,617085
11757,128906	-35,601154
11800,195312	-35,585270
11843,261719	-35,569439
11886,328125	-35,553677
11929,394531	-35,537960
11972,460938	-35,522312
12015,527344	-35,506721
12058,593750	-35,491184
12101,660156	-35,475697
12144,726562	-35,460274
12187,792969	-35,444908
12230,859375	-35,429592
12273,925781	-35,414326
12316,992188	-35,399113
12360,058594	-35,383949
12403,125000	-35,368843
12446,191406	-35,353798
12489,257812	-35,338795
12532,324219	-35,323833
12575,390625	-35,308937
12618,457031	-35,294090
12661,523438	-35,279293
12704,589844	-35,264542
12747,656250	-35,249851
12790,722656	-35,235207
12833,789062	-35,220604
12876,855469	-35,206062
12919,921875	-35,191555
12962,988281	-35,177109
13006,054688	-35,162708
13049,121094	-35,148342
13092,187500	-35,134033
13135,253906	-35,119770
13178,320312	-35,105549
13221,386719	-35,091381
13264,453125	-35,077263
13307,519531	-35,063187
13350,585938	-35,049152
13393,652344	-35,035164
13436,718750	-35,021225
13479,785156	-35,007332
13522,851562	-34,993477
13565,917969	-34,979668
13608,984375	-34,965900
13652,050781	-34,952175
13695,117188	-34,938496
13738,183594	-34,924858
13781,250000	-34,911270
13824,316406	-34,897717
13867,382812	-34,884212
13910,449219	-34,870743
13953,515625	-34,857315
13996,582031	-34,843937
14039,648438	-34,830589
14082,714844	-34,817291
14125,781250	-34,804028
14168,847656	-34,790810
14211,914062	-34,777634
14254,980469	-34,764488
14298,046875	-34,751381
14341,113281	-34,738323
14384,179688	-34,725304
14427,246094	-34,712322
14470,312500	-34,699379
14513,378906	-34,686470
14556,445312	-34,673607
14599,511719	-34,660778
14642,578125	-34,647984
14685,644531	-34,635227
14728,710938	-34,622509
14771,777344	-34,609825
14814,843750	-34,597187
14857,910156	-34,584576
14900,976562	-34,572010
14944,042969	-34,559479
14987,109375	-34,546974
15030,175781	-34,534515
15073,242188	-34,522087
15116,308594	-34,509697
15159,375000	-34,497353
15202,441406	-34,485027
15245,507812	-34,472736
15288,574219	-34,460487
15331,640625	-34,448269
15374,707031	-34,436081
15417,773438	-34,423931
15460,839844	-34,411823
15503,906250	-34,399742
15546,972656	-34,387699
15590,039062	-34,375690
15633,105469	-34,363705
15676,171875	-34,351757
15719,238281	-34,339836
15762,304688	-34,327957
15805,371094	-34,316113
15848,437500	-34,304295
15891,503906	-34,292503
15934,570312	-34,280750
15977,636719	-34,269035
16020,703125	-34,257343
16063,769531	-34,245682
16106,835938	-34,234047
16149,902344	-34,222458
16192,968750	-34,210899
16236,035156	-34,199360
16279,101562	-34,187851
16322,167969	-34,176384
16365,234375	-34,164944
16408,300781	-34,153522
16451,367188	-34,142139
16494,433594	-34,130787
16537,500000	-34,119457
16580,566406	-34,108162
16623,632812	-34,096893
16666,699219	-34,085659
16709,765625	-34,074451
16752,832031	-34,063271
16795,898438	-34,052124
16838,964844	-34,041000
16882,031250	-34,029907
16925,097656	-34,018845
16968,164062	-34,007809
17011,230469	-33,996803
17054,296875	-33,985817
17097,363281	-33,974865
17140,429688	-33,963940
17183,496094	-33,953041
17226,562500	-33,942169
17269,628906	-33,931320
17312,695312	-33,920509
17355,761719	-33,909725
17398,828125	-33,898956
17441,894531	-33,888210
17484,960938	-33,877510
17528,027344	-33,866825
17571,093750	-33,856163
17614,160156	-33,845539
17657,226562	-33,834930
17700,292969	-33,824348
17743,359375	-33,813793
17786,425781	-33,803265
17829,492188	-33,792763
17872,558594	-33,782284
17915,625000	-33,771835
17958,691406	-33,761414
18001,757812	-33,751011
18044,824219	-33,740627
18087,890625	-33,730274
18130,957031	-33,719948
18174,023438	-33,709648
18217,089844	-33,699368
18260,156250	-33,689106
18303,222656	-33,678875
18346,289062	-33,668671
18389,355469	-33,658489
18432,421875	-33,648327
18475,488281	-33,638195
18518,554688	-33,628082
18561,621094	-33,617996
18604,687500	-33,607933
18647,753906	-33,597889
18690,820312	-33,587868
18733,886719	-33,577873
18776,953125	-33,567902
18820,019531	-33,557945
18863,085938	-33,548019
18906,152344	-33,538120
18949,218750	-33,528244
18992,285156	-33,518383
19035,351562	-33,508545
19078,417969	-33,498734
19121,484375	-33,488937
19164,550781	-33,479168
19207,617188	-33,469421
19250,683594	-33,459694
19293,750000	-33,449989
19336,816406	-33,440308
19379,882812	-33,430645
19422,949219	-33,421009
19466,015625	-33,411381
19509,082031	-33,401783
19552,148438	-33,392208
19595,214844	-33,382652
19638,281250	-33,373123
19681,347656	-33,363609
19724,414062	-33,354118
19767,480469	-33,344662
19810,546875	-33,335281
19853,613281	-33,326344
19896,679688	-33,324520
19939,746094	-33,522717
19982,812500	-36,741962
20025,878906	-48,683731
20068,945312	-62,471394
20112,011719	-73,144089
20155,078125	-80,634850
20198,144531	-86,202682
20241,210938	-90,627853
20284,277344	-94,303658
20327,343750	-97,449455
20370,410156	-100,227402
20413,476562	-102,661247
20456,542969	-104,879654
20499,609375	-106,860039
20542,675781	-108,679565
20585,742188	-110,339401
20628,808594	-111,809685
20671,875000	-113,261009
20714,941406	-114,465080
20758,007812	-115,513924
20801,074219	-116,743805
20844,140625	-117,487335
20887,207031	-118,303032
20930,273438	-119,039146
20973,339844	-119,719543
21016,406250	-120,237473
21059,472656	-120,719078
21102,539062	-121,103104
21145,605469	-121,406784
21188,671875	-121,738770
21231,738281	-122,009148
21274,804688	-122,107399
21317,871094	-122,362617
21360,937500	-122,509193
21404,003906	-122,721672
21447,070312	-122,785019
21490,136719	-122,893425
21533,203125	-123,031342
21576,269531	-122,938431
21619,335938	-123,185822
21662,402344	-123,180153
21705,468750	-123,142754
21748,535156	-123,256325
21791,601562	-123,237038
21834,667969	-123,302528
21877,734375	-123,287964
21920,800781	-123,263062
21963,867188	-123,367561
22006,933594	-123,534325
