Frecuencia (Hz)	Nivel (dB)
11498,730469	-44,776936
11541,796875	-44,805080
11584,863281	-44,828651
11627,929688	-44,840302
11670,996094	-44,822369
11714,062500	-44,890190
11757,128906	-44,973225
11800,195312	-44,963367
11843,261719	-45,016029
11886,328125	-45,117985
11929,394531	-45,051327
11972,460938	-44,975506
12015,527344	-44,931667
12058,593750	-44,915733
12101,660156	-44,850006
12144,726562	-44,865234
12187,792969	-44,880684
12230,859375	-45,021889
12273,925781	-44,949986
12316,992188	-45,102146
12360,058594	-45,179646
12403,125000	-45,070564
12446,191406	-45,073189
12489,257812	-45,049347
12532,324219	-45,135052
12575,390625	-45,323345
12618,457031	-45,262043
12661,523438	-45,170746
12704,589844	-45,191521
12747,656250	-45,231606
12790,722656	-45,242504
12833,789062	-45,114799
12876,855469	-45,139759
12919,921875	-45,225311
12962,988281	-45,138077
13006,054688	-45,094471
13049,121094	-45,168896
13092,187500	-45,111740
13135,253906	-45,210873
13178,320312	-45,148106
13221,386719	-45,113194
13264,453125	-44,967991
13307,519531	-45,097401
13350,585938	-45,293278
13393,652344	-45,294979
13436,718750	-45,340637
13479,785156	-45,298161
13522,851562	-45,348118
13565,917969	-45,300144
13608,984375	-45,205647
13652,050781	-45,182777
13695,117188	-45,199936
13738,183594	-45,145832
13781,250000	-45,286602
13824,316406	-45,358963
13867,382812	-45,412064
13910,449219	-45,296467
13953,515625	-45,315849
13996,582031	-45,591148
14039,648438	-45,393967
14082,714844	-45,272903
14125,781250	-45,319473
14168,847656	-45,304119
14211,914062	-45,448139
14254,980469	-45,442982
14298,046875	-45,271107
14341,113281	-45,350899
14384,179688	-45,490570
14427,246094	-45,453133
14470,312500	-45,588657
14513,378906	-45,486771
14556,445312	-45,281994
14599,511719	-45,292503
14642,578125	-45,410702
14685,644531	-45,471004
14728,710938	-45,450470
14771,777344	-45,479980
14814,843750	-45,368607
14857,910156	-45,348602
14900,976562	-45,527542
14944,042969	-45,509617
14987,109375	-45,294861
15030,175781	-45,392990
15073,242188	-45,482414
15116,308594	-45,534264
15159,375000	-45,317005
15202,441406	-45,342464
15245,507812	-45,461002
15288,574219	-45,587692
15331,640625	-45,473553
15374,707031	-45,339191
15417,773438	-45,610630
15460,839844	-45,579704
15503,906250	-45,475262
15546,972656	-45,512630
15590,039062	-45,703487
15633,105469	-45,640110
15676,171875	-45,500282
15719,238281	-45,447964
15762,304688	-45,697422
15805,371094	-45,779476
15848,437500	-45,557102
15891,503906	-45,554306
15934,570312	-45,684990
15977,636719	-45,589325
16020,703125	-45,595623
16063,769531	-45,681908
16106,835938	-45,639618
16149,902344	-45,590065
16192,968750	-45,607796
16236,035156	-45,551861
16279,101562	-45,519203
16322,167969	-45,595760
16365,234375	-45,705601
16408,300781	-45,619415
16451,367188	-45,823387
16494,433594	-45,628933
16537,500000	-45,746914
16580,566406	-45,695538
16623,632812	-45,711945
16666,699219	-45,614540
16709,765625	-45,706608
16752,832031	-45,595379
16795,898438	-45,592312
16838,964844	-45,806847
16882,031250	-45,792984
16925,097656	-45,716625
16968,164062	-45,606567
17011,230469	-45,709023
17054,296875	-45,875103
17097,363281	-45,778706
17140,429688	-45,799381
17183,496094	-45,819759
17226,562500	-45,730915
17269,628906	-45,647686
17312,695312	-45,638870
17355,761719	-45,667381
17398,828125	-45,850075
17441,894531	-45,606514
17484,960938	-45,576622
17528,027344	-45,599476
17571,093750	-45,798355
17614,160156	-45,861855
17657,226562	-46,031273
17700,292969	-45,831215
17743,359375	-45,664753
17786,425781	-45,554768
17829,492188	-45,534138
17872,558594	-45,635967
17915,625000	-45,653248
17958,691406	-45,629604
18001,757812	-45,708504
18044,824219	-45,752369
18087,890625	-45,834732
18130,957031	-45,877449
18174,023438	-45,705330
18217,089844	-45,496510
18260,156250	-45,808704
18303,222656	-45,860455
18346,289062	-45,835411
18389,355469	-45,955406
18432,421875	-45,796799
18475,488281	-45,660004
18518,554688	-45,547981
18561,621094	-45,592941
18604,687500	-45,872787
18647,753906	-46,016415
18690,820312	-45,885059
18733,886719	-45,782452
18776,953125	-45,683472
18820,019531	-45,737267
18863,085938	-45,913059
18906,152344	-45,729786
18949,218750	-45,750938
18992,285156	-45,889145
19035,351562	-45,847054
19078,417969	-45,729237
19121,484375	-45,905903
19164,550781	-45,731853
19207,617188	-45,705685
19250,683594	-45,865681
19293,750000	-45,882565
19336,816406	-45,768745
19379,882812	-45,786022
19422,949219	-45,793091
19466,015625	-45,918056
19509,082031	-45,997601
19552,148438	-45,811131
19595,214844	-45,822834
19638,281250	-45,974659
19681,347656	-45,898849
19724,414062	-45,831055
19767,480469	-45,776012
19810,546875	-45,743000
19853,613281	-45,645813
19896,679688	-45,870312
19939,746094	-45,983963
19982,812500	-45,860073
20025,878906	-45,861980
20068,945312	-45,816875
20112,011719	-45,944042
20155,078125	-45,833672
20198,144531	-45,788975
20241,210938	-45,840462
20284,277344	-45,963654
20327,343750	-45,925003
20370,410156	-46,014568
20413,476562	-45,965706
20456,542969	-45,900223
20499,609375	-45,935673
20542,675781	-45,956703
20585,742188	-45,907558
20628,808594	-45,826099
20671,875000	-45,809910
20714,941406	-45,991627
20758,007812	-45,738213
20801,074219	-45,764736
20844,140625	-45,881935
20887,207031	-45,743839
20930,273438	-45,785656
20973,339844	-45,869682
21016,406250	-45,980427
21059,472656	-45,925407
21102,539062	-45,802635
21145,605469	-45,704834
21188,671875	-45,812782
21231,738281	-45,901302
21274,804688	-45,911846
21317,871094	-45,872261
21360,937500	-45,942051
21404,003906	-45,870571
21447,070312	-45,747990
21490,136719	-45,906284
21533,203125	-45,944408
21576,269531	-45,882473
21619,335938	-46,033955
21662,402344	-45,988251
21705,468750	-45,737888
21748,535156	-45,684364
21791,601562	-45,784904
21834,667969	-45,794231
21877,734375	-45,836296
21920,800781	-45,898121
21963,867188	-46,032681
22006,933594	-45,923302
